Date,TotalCancelled
2008-01-01,554
2008-01-02,511
2008-01-03,475
2008-01-04,769
2008-01-05,456
2008-01-06,683
2008-01-07,579
2008-01-08,463
2008-01-09,377
2008-01-10,341
2008-01-11,524
2008-01-12,226
2008-01-13,359
2008-01-14,909
2008-01-15,299
2008-01-16,533
2008-01-17,873
2008-01-18,230
2008-01-19,882
2008-01-20,247
2008-01-21,475
2008-01-22,788
2008-01-23,530
2008-01-24,322
2008-01-25,526
2008-01-26,420
2008-01-27,638
2008-01-28,654
2008-01-29,889
2008-01-30,694
2008-01-31,1082
2008-02-01,1304
2008-02-02,263
2008-02-03,710
2008-02-04,1695
2008-02-05,1062
2008-02-06,2099
2008-02-07,390
2008-02-08,348
2008-02-09,194
2008-02-10,416
2008-02-11,600
2008-02-12,1635
2008-02-13,1162
2008-02-14,345
2008-02-15,220
2008-02-16,376
2008-02-17,919
2008-02-18,460
2008-02-19,246
2008-02-20,245
2008-02-21,803
2008-02-22,2158
2008-02-23,394
2008-02-24,268
2008-02-25,593
2008-02-26,834
2008-02-27,233
2008-02-28,257
2008-02-29,367
2008-03-01,189
2008-03-02,238
2008-03-03,705
2008-03-04,910
2008-03-05,497
2008-03-06,925
2008-03-07,1056
2008-03-08,1456
2008-03-09,611
2008-03-10,402
2008-03-11,336
2008-03-12,291
2008-03-13,125
2008-03-14,110
2008-03-15,170
2008-03-16,169
2008-03-17,270
2008-03-18,1884
2008-03-19,653
2008-03-20,288
2008-03-21,1318
2008-03-22,166
2008-03-23,116
2008-03-24,145
2008-03-25,312
2008-03-26,552
2008-03-27,697
2008-03-28,200
2008-03-29,111
2008-03-30,302
2008-03-31,979
2008-04-01,434
2008-04-02,174
2008-04-03,216
2008-04-04,686
2008-04-05,197
2008-04-06,126
2008-04-07,243
2008-04-08,725
2008-04-09,1332
2008-04-10,1404
2008-04-11,922
2008-04-12,298
2008-04-13,118
2008-04-14,140
2008-04-15,157
2008-04-16,155
2008-04-17,134
2008-04-18,171
2008-04-19,130
2008-04-20,126
2008-04-21,120
2008-04-22,145
2008-04-23,170
2008-04-24,155
2008-04-25,644
2008-04-26,259
2008-04-27,124
2008-04-28,518
2008-04-29,168
2008-04-30,164
2008-05-01,150
2008-05-02,693
2008-05-03,179
2008-05-04,111
2008-05-05,147
2008-05-06,232
2008-05-07,306
2008-05-08,133
2008-05-09,341
2008-05-10,91
2008-05-11,302
2008-05-12,365
2008-05-13,151
2008-05-14,256
2008-05-15,133
2008-05-16,173
2008-05-17,61
2008-05-18,90
2008-05-19,123
2008-05-20,206
2008-05-21,158
2008-05-22,112
2008-05-23,81
2008-05-24,47
2008-05-25,48
2008-05-26,72
2008-05-27,675
2008-05-28,176
2008-05-29,118
2008-05-30,340
2008-05-31,159
2008-06-01,111
2008-06-02,109
2008-06-03,376
2008-06-04,532
2008-06-05,380
2008-06-06,487
2008-06-07,248
2008-06-08,811
2008-06-09,524
2008-06-10,589
2008-06-11,275
2008-06-12,195
2008-06-13,468
2008-06-14,334
2008-06-15,427
2008-06-16,707
2008-06-17,357
2008-06-18,240
2008-06-19,374
2008-06-20,159
2008-06-21,99
2008-06-22,475
2008-06-23,398
2008-06-24,243
2008-06-25,216
2008-06-26,383
2008-06-27,367
2008-06-28,288
2008-06-29,536
2008-06-30,223
2008-07-01,123
2008-07-02,309
2008-07-03,181
2008-07-04,67
2008-07-05,91
2008-07-06,276
2008-07-07,285
2008-07-08,330
2008-07-09,364
2008-07-10,510
2008-07-11,344
2008-07-12,186
2008-07-13,860
2008-07-14,306
2008-07-15,194
2008-07-16,191
2008-07-17,159
2008-07-18,209
2008-07-19,157
2008-07-20,334
2008-07-21,343
2008-07-22,357
2008-07-23,1248
2008-07-24,663
2008-07-25,283
2008-07-26,136
2008-07-27,883
2008-07-28,355
2008-07-29,230
2008-07-30,201
2008-07-31,423
2008-08-01,270
2008-08-02,512
2008-08-03,306
2008-08-04,876
2008-08-05,733
2008-08-06,238
2008-08-07,321
2008-08-08,348
2008-08-09,76
2008-08-10,773
2008-08-11,797
2008-08-12,165
2008-08-13,133
2008-08-14,441
2008-08-15,729
2008-08-16,155
2008-08-17,124
2008-08-18,171
2008-08-19,552
2008-08-20,228
2008-08-21,256
2008-08-22,247
2008-08-23,150
2008-08-24,108
2008-08-25,285
2008-08-26,312
2008-08-27,150
2008-08-28,111
2008-08-29,126
2008-08-30,53
2008-08-31,89
2008-09-01,507
2008-09-02,401
2008-09-03,300
2008-09-04,328
2008-09-05,232
2008-09-06,358
2008-09-07,90
2008-09-08,169
2008-09-09,546
2008-09-10,96
2008-09-11,80
2008-09-12,1161
2008-09-13,1340
2008-09-14,1597
2008-09-15,681
2008-09-16,267
2008-09-17,262
2008-09-18,221
2008-09-19,71
2008-09-20,88
2008-09-21,113
2008-09-22,91
2008-09-23,77
2008-09-24,74
2008-09-25,99
2008-09-26,330
2008-09-27,66
2008-09-28,67
2008-09-29,96
2008-09-30,105
2008-10-01,100
2008-10-02,86
2008-10-03,73
2008-10-04,44
2008-10-05,58
2008-10-06,88
2008-10-07,97
2008-10-08,124
2008-10-09,101
2008-10-10,71
2008-10-11,48
2008-10-12,67
2008-10-13,65
2008-10-14,79
2008-10-15,173
2008-10-16,84
2008-10-17,82
2008-10-18,44
2008-10-19,36
2008-10-20,80
2008-10-21,92
2008-10-22,148
2008-10-23,72
2008-10-24,102
2008-10-25,158
2008-10-26,96
2008-10-27,164
2008-10-28,396
2008-10-29,174
2008-10-30,128
2008-10-31,119
2008-11-01,74
2008-11-02,64
2008-11-03,151
2008-11-04,182
2008-11-05,112
2008-11-06,340
2008-11-07,131
2008-11-08,89
2008-11-09,89
2008-11-10,197
2008-11-11,185
2008-11-12,186
2008-11-13,250
2008-11-14,381
2008-11-15,167
2008-11-16,89
2008-11-17,123
2008-11-18,153
2008-11-19,142
2008-11-20,148
2008-11-21,120
2008-11-22,72
2008-11-23,85
2008-11-24,162
2008-11-25,106
2008-11-26,45
2008-11-27,28
2008-11-28,37
2008-11-29,87
2008-11-30,463
2008-12-01,464
2008-12-02,141
2008-12-03,263
2008-12-04,173
2008-12-05,161
2008-12-06,68
2008-12-07,132
2008-12-08,276
2008-12-09,502
2008-12-10,675
2008-12-11,682
2008-12-12,297
2008-12-13,126
2008-12-14,206
2008-12-15,578
2008-12-16,1020
2008-12-17,883
2008-12-18,975
2008-12-19,2089
2008-12-20,741
2008-12-21,1774
2008-12-22,910
2008-12-23,868
2008-12-24,298
2008-12-25,214
2008-12-26,1220
2008-12-27,788
2008-12-28,278
2008-12-29,138
2008-12-30,285
2008-12-31,554
