CancellationCode,Month,Percent
carrier,Jan,1.09530923708039
weather,Jan,1.10785535645011
NAS,Jan,0.654049012405801
security,Jan,0
carrier,Feb,1.06985503376455
weather,Feb,1.7627135318216
NAS,Feb,0.785263054339501
security,Feb,0.00035134812274698
carrier,Mar,0.980051615835349
weather,Mar,1.22060088623415
NAS,Mar,0.425424856757941
security,Mar,0.000649255790550082
carrier,Apr,1.22248489448711
weather,Apr,0.24727231386029
NAS,Apr,0.261483366380997
security,Apr,0
carrier,May,0.520705335539087
weather,May,0.240972599056892
NAS,May,0.265218302042082
security,May,0.000494810265003884
carrier,Jun,0.698413741549128
weather,Jun,0.566485669456926
NAS,Jun,0.530998168122037
security,Jun,0
carrier,Jul,0.842767756329915
weather,Jul,0.415969270509021
NAS,Jul,0.429028030149809
security,Jul,0
carrier,Aug,0.629124957739854
weather,Aug,0.585027413973042
NAS,Aug,0.392141491052282
security,Aug,0
carrier,Sep,0.415227728190376
weather,Sep,1.19761586073787
NAS,Sep,0.219630695053503
security,Sep,0.000184874322435608
carrier,Oct,0.377019264479823
weather,Oct,0.107873895416258
NAS,Oct,0.0992439837829577
security,Oct,0
carrier,Nov,0.479674050971579
weather,Nov,0.179065572016083
NAS,Nov,0.192825146386583
security,Nov,0.000382210399180541
carrier,Dec,0.889976842252064
weather,Dec,1.84271081441139
NAS,Dec,0.529765596614785
security,Dec,0
